ID,Código,Título / archivo,Tipo,Departamento / proceso,Ruta relativa,Revisión actual,Revisión objetivo,Estado documental,Aplicabilidad,Cláusulas relacionadas,Responsable,Aprobador,Fecha última revisión,Próxima revisión,Retención,Medio,Observaciones,SHA-256
707,,6.1.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Respuestas IATF/Para cargar/6.1.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-11,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,b935b59121566e13d80ab45a7da05fcb53d22fdebcfa8607cb4b5e5147c64134
708,,7.1.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Respuestas IATF/Para cargar/7.1.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-11,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,efda112a4b78cc0c7b24804b644c58768bbae317e1186f079b8331d83460b69a
709,,8.1.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Respuestas IATF/Para cargar/8.1.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-11,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,3b7f9c6e46e8138b38f410ad87a70494c6d00a3104475b7ef54e72f07e06fa82
710,,8.2.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Respuestas IATF/Para cargar/8.2.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-11,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,3eaecd1f3cfb11f3a577da03eb278f9e0cc982fbea67ef3db224d4c1ca1b67e4
711,AUDITORI,Auditoria Mantenimiento Presion - 1002461670.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Respuestas IATF/Para cargar/Auditoria Mantenimiento Presion - 1002461670.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,7.1.3; 7.1.5 / IATF 7.1.5; 8.5.1.5–8.5.1.6,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-11,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,32629e3ecd10deec414faf77901cfa9ef4f418929dbb0493d8ad2acd9e6a6155
712,CRONOGRA,Cronograma Total Lay Out.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Respuestas IATF/Para cargar/Cronograma Total Lay Out.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-11,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,19af92db8be556e6827512f3b8a9667e5d3a9d9797478b3c2ab4d0880c6e9152
713,ING-001.2,ING-001.2 Solicitud de desvio.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Respuestas IATF/Para cargar/ING-001.2 Solicitud de desvio.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-11,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,7dbf0679a23efdf456a87062337a09cdc5a23f3185d54d40fde2a13644bdadb2
714,ING-006,ING-006 Elaboración de cambios de Lay Out de Proceso D.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Respuestas IATF/Para cargar/ING-006 Elaboración de cambios de Lay Out de Proceso D.pdf,D,E,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-11,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,24f7218f8c0c01644e915d38bbd49f72eeb036a9494c690aa2b7d7373f663432
715,INSPECCI,Inspección - 1002604580.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Respuestas IATF/Para cargar/Inspección - 1002604580.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-11,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,8b14e194e70a5371bb74e2802e08e8842d15c33e967886946adbff1dbfe0db53
716,P,P Terminado -1002604580.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2024/Respuestas IATF/Para cargar/P Terminado -1002604580.pdf,P,Q,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-11-11,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,03dc6fcb47a2409b89f91985f945953cb15004c4e2b4cb0fa30b26ee4cedde63
717,PLAN,Plan de accion 2023 IATF.xls,Planilla Excel legado,Ruedas,Ruedas/En vigor/Auditorias/2024/Respuestas IATF/Plan de accion 2023 IATF.xls,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2024-10-22,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e7d9c81cf2da2d65b9879eba4aedf95d07c9316e46091f4d05108b5ce8564cef
718,THUMBS,Thumbs.db,DB,Ruedas,Ruedas/En vigor/Auditorias/2024/Respuestas IATF/Thumbs.db,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-18,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e4a8e961e0fc0a0026226ebfa9ab4b2f2116b1e314c8f16b8501a6a38e7fe6d6
719,THUMBS,Thumbs.db,DB,Ruedas,Ruedas/En vigor/Auditorias/2024/Thumbs.db,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-17,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,617bbaa1fb89deaa9424e61b20fed9c89cc76746f477ac70ad64f97091042b96
720,FG-05,FG-05 Plan anual de Auditoria 2025 .xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2025/FG-05 Plan anual de Auditoria 2025 .xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-23,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,ae4a98725db1a3e842422161feeb169c284a1722acd0390b042f950a8f65be83
721,FG-09,FG-09 B informe auditoria interna Ruedas 2025.docx,Documento Word,Ruedas,Ruedas/En vigor/Auditorias/2025/FG-09 B informe auditoria interna Ruedas 2025.docx,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-04,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,0f8b48f4ddf4950cd41b2be5e21f1ce171f670dfe5ff2b45afc336e8a73f55a1
722,FG-09,FG-09 B informe auditoria interna Ruedas 2025.pdf,PDF / evidencia,Ruedas,Ruedas/En vigor/Auditorias/2025/FG-09 B informe auditoria interna Ruedas 2025.pdf,B,C,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-17,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,3d5391c76c9bb5488359ca3cac7dd00bed83e66fc139d7bc3d41fc4b0a8204bd
723,FG-09,FG-09 Informe de Auditoria Interna COMPRAS.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2025/FG-09 Informe de Auditoria Interna COMPRAS.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-07-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,15d497babe45b1d4602bca36a093a109a6c472c41788738aa131939c21bec689
724,FG-09,FG-09 Informe de Auditoria Interna RRHH.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2025/FG-09 Informe de Auditoria Interna RRHH.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,7.1.2; 7.2; 7.3 / IATF 7.2.1–7.3.2,A definir por dueño de proceso,Dirección / autoridad designada,2025-07-07,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,73e7ee95a05b7843985f2828c90c546714819e466af84eac4fb415a02070408d
725,FG-09,FG-09 Informe de Auditoria InternaCalidad.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/2025/FG-09 Informe de Auditoria InternaCalidad.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-23,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,d36bf6ef0b12cfe184b3a5db2ffc946081964fc6b1e4518d731ea23053c0263b
726,PLAN,Plan de accion 2025.xls,Planilla Excel legado,Ruedas,Ruedas/En vigor/Auditorias/2025/Plan de accion 2025.xls,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-14,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,4cd306ea2997af540d97929dbf07054d4694abeefa500e901007555d3d66dee9
727,FG-09,FG-09_Informe_de_Auditoria_Interna_RUEDAS.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/CBA/FG-09_Informe_de_Auditoria_Interna_RUEDAS.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,520c2fcbce5f6dcd7d741be427ac786512698c1478bb412ccca866fa9da31093
728,PRUE-05.1,PRUE-05.1_Auditoria_Escalonada_B.xls,Planilla Excel legado,Ruedas,Ruedas/En vigor/Auditorias/CBA/PRUE-05.1_Auditoria_Escalonada_B.xls,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e4931d3303d3929cbec3b6cb80d23313a5f3857d5c71e59ebe75c375a91ba3d5
729,PRUE-05.2,PRUE-05.2_Grafico_de_resultados_A.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Auditorias/CBA/PRUE-05.2_Grafico_de_resultados_A.xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,182734c6d620e68ce455fa6e64a9619545a66be73dfed7516aea7b75ce7b0b6e
730,PRUE-05.3,PRUE-05.3_Programa_de_Auditorias_escalonadas_A.docx,Documento Word,Ruedas,Ruedas/En vigor/Auditorias/CBA/PRUE-05.3_Programa_de_Auditorias_escalonadas_A.docx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,c62ad4e8d7fdf0a6778421ee2c6fecb778a0195c0897587ffa140a1826728245
731,PRUE-05,PRUE-05_Auditoria_escalonadas_C(1).doc,Documento Word legado,Ruedas,Ruedas/En vigor/Auditorias/CBA/PRUE-05_Auditoria_escalonadas_C(1).doc,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,ea7085710564554b4c0f766afa00769cfd8a06008817846e80b7ab59fc1ede26
732,PRUE-10,PRUE-10_Auditoria_de_producto_terminado_B.doc,Documento Word legado,Ruedas,Ruedas/En vigor/Auditorias/CBA/PRUE-10_Auditoria_de_producto_terminado_B.doc,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,2b4c41308f08d4a978333e042fcde45a52a70d4ee2d8d365c1708a2480e92d14
733,PRUE-11,PRUE-11_Auditoria_de_proceso_C(1).doc,Documento Word legado,Ruedas,Ruedas/En vigor/Auditorias/CBA/PRUE-11_Auditoria_de_proceso_C(1).doc,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,5547be86ede5477da01af839de5c34a45a9115d4731962018d777e91531e828e
734,FG-18,FG-18.G_Maestro_de_Documentos_1).xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/FG-18.G_Maestro_de_Documentos_1).xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-17,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,f373e644f2f1ca8987124b3d986535b0d1e3cca5524d30c3423bb76bfebce9cd
735,FG-01,FG-01_C_Analisis-Foda_plan_de_accion_RUEDAS_2025.xls,Planilla Excel legado,Ruedas,Ruedas/En vigor/Formularios/FG-01_C_Analisis-Foda_plan_de_accion_RUEDAS_2025.xls,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,8.7; 10.2 / IATF 10.2.3–10.2.6,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-14,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,110656363f9d178c2849636d1f78f07d7baf21d8fd0da57305ae110d14a63aee
736,FG-03,FG-03_Plan_de_acciones_DADA_(4).xls,Planilla Excel legado,Ruedas,Ruedas/En vigor/Formularios/FG-03_Plan_de_acciones_DADA_(4).xls,,A,Vigente — validar contenido y aprobar,Sistema KIMI,8.7; 10.2 / IATF 10.2.3–10.2.6,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,926d1e0eeda73458e8185169b158b956c268503b829c4f0c30db388661a2d750
737,FG-06,FG-06 C. Matriz_de_objetivos_ruedasa.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/FG-06 C. Matriz_de_objetivos_ruedasa.xlsx,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-17,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,47623e9265608fe6f3117a409e7e361d91b581471fd815e0e3456afcbbc85884
738,FG-07,FG-07 C Contexto_y_partes_interesadas_con_organismos.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/FG-07 C Contexto_y_partes_interesadas_con_organismos.xlsx,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-13,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,075bf596a911b9a2716751dfe958193faa10181dc4a58b2cadd9cbc4d5789042
739,FG-10,FG-10_A._Calificacion_de_auditores.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/FG-10_A._Calificacion_de_auditores.xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,722e90b1e7659cd938e503ed2136063d07d80fce45fbee5c433057751375b373
740,FG-33,FG-33 B Mantenimiento Linea.xlsm,Planilla Excel con macros,Ruedas,Ruedas/En vigor/Formularios/FG-33 B Mantenimiento Linea.xlsm,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,7.1.3; 7.1.5 / IATF 7.1.5; 8.5.1.5–8.5.1.6,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-17,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,b6347bac4ae798d60f6e15deb129c9cecfb1a68f499b41d724c78a4e55247b3b
741,HP,HP_-_Control_final.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/HP_-_Control_final.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,16321b5d5724cfbc8aabd945a9bf6616e70887f8e252107c759a6b52e304c6a2
742,HP,HP_-_Inflado.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/HP_-_Inflado.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,482ad6737d20d829522ba17ce4f6b0fb08214cda180633d639df1516744b2d65
743,HP,HP_-_Trazabilidad.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/HP_-_Trazabilidad.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,1eb9d9ccf7814ac386cbd82b3cafd9be4dd79281f2e4b307266154e7145edae4
744,HP,HP_CONJUNTO_CHAPA.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/HP_CONJUNTO_CHAPA.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,d78aaed5ba3b44b878523cc28e47503955410540a78607b32642b59c3b7364d6
745,HP,HP_Calibracion.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/HP_Calibracion.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,7.1.3; 7.1.5 / IATF 7.1.5; 8.5.1.5–8.5.1.6,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e3fd56a62eb82e608e25b1a91b7283a11f6c61243c5d559e1f7aa9affb6b3d38
746,ICA-006.1,ICA-006.1_AMFE_-_Conjunto_de_Rueda_K.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/ICA-006.1_AMFE_-_Conjunto_de_Rueda_K.xlsx,K,L,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,4fd16d5a165219fef7683265b0011c87a630ac2f77620a778862cd3f84808b94
747,IMT-001.5,IMT-001.5_Repuestos_criticos_A(2).xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/IMT-001.5_Repuestos_criticos_A(2).xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,7.1.2; 7.2; 7.3 / IATF 7.2.1–7.3.2,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,c57f3f64239354392354a3c9180bea2cba0aa6814c54d912a93d167b9333b3a2
748,IMT-001,IMT-001_cronograma_de_mantenimiento_2017.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/IMT-001_cronograma_de_mantenimiento_2017.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,7.1.3; 7.1.5 / IATF 7.1.5; 8.5.1.5–8.5.1.6,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,fbb59a86d39490b5c60c6225afd73e3acee2b280c4fc2d1a66aa822a1ac0f8a8
749,IMT-01.3,IMT-01.3_Ficha_de_Vida_de_Equipos.xls,Planilla Excel legado,Ruedas,Ruedas/En vigor/Formularios/IMT-01.3_Ficha_de_Vida_de_Equipos.xls,,A,Vigente — validar contenido y aprobar,Sistema KIMI,7.1.3; 7.1.5 / IATF 7.1.5; 8.5.1.5–8.5.1.6,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,0811bf50e829bffceb4a0e8e8a21de32e8c7b2dcd8fc847c2aa93e133f8c4a99
750,MP-RUE-01,MP-RUE-01_B_Mapa_de_procesos.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/MP-RUE-01_B_Mapa_de_procesos.xlsx,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-17,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,5fe5c614b343123f3ddd2500df2c829b34e5c9c62e780a0ce988fb680e964a04
751,P-SG-03,P-SG-03_1_Análisis_de_Factibilidad_y_riesgo_de_proyectos_D_X6S.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/P-SG-03_1_Análisis_de_Factibilidad_y_riesgo_de_proyectos_D_X6S.xlsx,P,Q,Vigente — validar contenido y aprobar,Sistema KIMI,6.1 / IATF 6.1.2.1; 6.1.2.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,4fe7f49bf4fed90122f5003eb21ddf1ff91e8168a18d6698df0fdea1266fba94
752,PRUE-02.1,PRUE-02.1_Declaracion_de_ingreso_a_no_conforme_A.xls,Planilla Excel legado,Ruedas,Ruedas/En vigor/Formularios/PRUE-02.1_Declaracion_de_ingreso_a_no_conforme_A.xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,1e05564ec9fb3610e71cd91d27ef2d0941289c9e7986248552a29c30b9f0b82f
753,PRUE-02.2,PRUE-02.2_Planilla_de_rechazos_de_linea_A.xls,Planilla Excel legado,Ruedas,Ruedas/En vigor/Formularios/PRUE-02.2_Planilla_de_rechazos_de_linea_A.xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,326f1e4a30879217681987300d78f2c9cf51e4a6aa54db3170601a1660d6a534
754,PRUE-02.3,PRUE-02.3_Registro_de_contencion_A.xls,Planilla Excel legado,Ruedas,Ruedas/En vigor/Formularios/PRUE-02.3_Registro_de_contencion_A.xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,179329678d66e7cd1064c32ca6e3ad2dfb72ccf0bfb274962a812c35406bc545
755,PRUE-06.1,PRUE-06.1_Listado_Maestro_de_Dispositivos_Poka_Yoke_A.xlsx,Planilla Excel,Ruedas,Ruedas/En vigor/Formularios/PRUE-06.1_Listado_Maestro_de_Dispositivos_Poka_Yoke_A.xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,9e7d5fb4aa7fcf1a5b76bc0de932a930da319029146ef938033c445f49fa6eb5
